ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (гр)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция
207,simple,00205,"Палочки бамбуковые",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,3,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/palochki.jpg,,,,,,,,,17
208,simple,00198,"Соевый соус",1,0,visible,,,,,taxable,,1,,,0,0,50,,,,0,,,30,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/soevyj.jpg,,,,,,,,,27
209,simple,00204,"Соус Барбекю",1,0,visible,,,,,taxable,,1,,,0,0,30,,,,0,,,20,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/barbekyu.jpg,,,,,,,,,63
210,simple,00203,"Соус Кимчи",1,0,visible,,,,,taxable,,1,,,0,0,30,,,,0,,,30,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/kimchi.jpg,,,,,,,,,64
211,simple,00200,"Соус Спайси",1,0,visible,,,,,taxable,,1,,,0,0,30,,,,0,,,18,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/orehovyj.jpg,,,,,,,,,65
212,simple,00202,"Соус Терияки",1,0,visible,,,,,taxable,,1,,,0,0,30,,,,0,,,15,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/teriyaki.jpg,,,,,,,,,66
213,simple,00199,"Соус Унаги",1,0,visible,,,,,taxable,,1,,,0,0,30,,,,0,,,15,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/unagi.jpg,,,,,,,,,67
214,simple,00201,Васаби,1,0,visible,,,,,taxable,,1,,,0,0,10,,,,0,,,10,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/vasabi-1.jpg,,,,,,,,,16
215,simple,00196,Имбирь,1,0,visible,,,,,taxable,,1,,,0,0,30,,,,0,,,15,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/imbir-1.jpg,,,,,,,,,15
216,simple,00197,"Ореховый соус",1,0,visible,,,,,taxable,,1,,,0,0,30,,,,0,,,26,Дополнения,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/spajsi.jpg,,,,,,,,,53
