ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (гр)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция
10,simple,00125,"Мясное ассорти 33см",1,0,visible,,"Сыр, соус томатный, ветчина, курица копченая, охотничьи колбаски, бекон, лук красный, шампиньоны",,,taxable,,1,,,0,0,600,,,,0,,,480,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/FullSizeRender-2.jpg,,,,,,"00215, 00217",,,46
11,simple,00126,"Курица и грибы 33см",1,0,visible,,"Сыр, соус томатный, куриная грудка копченая, шампиньоны, лук красный",,,taxable,,1,,,0,0,570,,,,0,,,399,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2785.jpg,,,,,,"00215, 00217",,,38
13,simple,00127,"Острая 33см",1,0,visible,,"Сыр, соус томатный, сервелат, бекон,  лук красный, колбаски охотничьи, шампиньоны, халапеньо, перец болгарский",,,taxable,,1,,,0,0,580,,,,0,,,520,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2823.jpg,,,,,,"00215, 00217",,,55
14,simple,00158,"Салями 33см",1,0,visible,,"Сыр, корнишоны, сервелат, соус томатный, лук красный",,,taxable,,1,,,0,0,600,,,,0,,,420,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2851.jpg,,,,,,"00215, 00217",,,59
16,simple,00159,"Пепперони 33см",1,0,visible,,"Сыр моцарелла, соус томатный, колбаска пепперони",,,taxable,,1,,,0,0,520,,,,0,,,437,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2811.jpg,,,,,,"00215, 00217",,,57
17,simple,00160,"Ветчина и грибы 33см",1,0,visible,,"Сыр, соус сливочный, ветчина, шампиньоны, лук красный",,,taxable,,1,,,0,0,570,,,,0,,,399,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2777.jpg,,,,,,"00215, 00217",,,18
18,simple,00161,"Семга с тобикой 33см",1,0,visible,,"Сыр, соус сливочный, семга, икра тобика",,,taxable,,1,,,0,0,600,,,,0,,,585,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2878.jpg,,,,,,"00215, 00217",,,60
19,simple,00162,"Груша с горгонзолой 33см",1,0,visible,,"Соус сладкий, сыр моцарелла, сыр горгонзола , груша",,,taxable,,1,,,0,0,600,,,,0,,,399,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2931.jpg,,,,,,"00215, 00217",,,21
20,simple,00163,"Маргарита 33см",1,0,visible,,"Сыр, соус томатный, помидоры",,,taxable,,1,,,0,0,460,,,,0,,,299,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2912.jpg,,,,,,"00215, 00217",,,41
21,simple,00164,"Курица ананас 33см",1,0,visible,,"Сыр, соус сливочный, курица копченая, ананасы",,,taxable,,1,,,0,0,570,,,,0,,,430,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2753.jpg,,,,,,"00215, 00217",,,37
22,simple,00165,"4 сыра 33см",1,0,visible,,"Соус сливочный, сыр моцарелла, пармезан, горгонзола, сыр творожный",,,taxable,,1,,,0,0,570,,,,0,,,465,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_2900.jpg,,,,,,"00215, 00217",,,1
160,simple,00166,"Барбекю 33см",1,0,visible,,"Сыр, соус томатный, барбекю, куриное филе, лук, бекон",,,taxable,,1,,,0,0,650,,,,0,,,444,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/fullsizerender.jpg,,,,,,"00215, 00217",,,10
163,simple,00168,"Курица и шпинат 33см",1,0,visible,,"Сыр, соус шпинатный, куриное филе холодного копчения, черри, шампиньоны",,,taxable,,1,,,0,0,650,,,,0,,,465,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/fullsizerender-2-1.jpg,,,,,,"00215, 00217",,,39
164,simple,00169,"Лесная 33см",1,0,visible,,"Сыр, соус сливочный, шампиньоны, опята, укроп",,,taxable,,1,,,0,0,570,,,,0,,,437,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/fullsizerender-.jpg,,,,,,"00215, 00217",,,40
165,simple,00170,"Чикен-чиz 33см",1,0,visible,,"Сыр, соус сырный, томат, куриное филе холодного копчения",,,taxable,,1,,,0,0,580,,,,0,,,427,Пицца,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/fullsizerender_.jpg,,,,,,"00215, 00217",,,83
