ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (гр)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция
23,simple,00128,"Филадельфия с тунцом",1,0,visible,,"Сыр, рис, тунец, авокадо",,,taxable,,1,,,0,0,235,,,,0,,,399,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_3340.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,80
24,simple,00130,"Филадельфия лайт",1,0,visible,,"Лосось, огурец, сыр,соус унаги,кунжут",,,taxable,,1,,,0,0,220,,,,0,,,255,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_3325.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,79
25,simple,00131,"Филадельфия классика",1,0,visible,,"Сыр, рис, лосось, огурец, нори",,,taxable,,1,,,0,0,275,,,,0,,,399,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/AE2C04A0-7D26-4163-8FBF-AD7A184871E7.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,78
26,simple,00134,Бонито,1,0,visible,,"Лосось терияки, сыр,огурец, стружка тунца",,,taxable,,1,,,0,0,210,,,,0,,,235,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_3456.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,14
27,simple,00133,"Сяке маки",1,0,visible,,"Рис, лосось, кунжут",,,taxable,,1,,,0,0,100,,,,0,,,134,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_3411.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,69
29,simple,00117,"Бекон темпура",1,0,visible,,"Бекон, сыр, болгарский перец, кляр, рис",,,taxable,,1,,,0,0,230,,,,0,,,199,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/Facetune_05-05-2021-20-39-54.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,12
30,simple,00108,Темпура,1,0,visible,,"Лосось, угорь, перец, соус спайс\n\n&nbsp;",,,taxable,,1,,,0,0,210,,,,0,,,254,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/Facetune_05-05-2021-20-39-27.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,70
31,simple,00136,"Ролл с курицей",1,0,visible,,"Сыр, рис, курица, помидор",,,taxable,,1,,,0,0,215,,,,0,,,199,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/kur-scaled-e1629215611169.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,58
33,simple,00137,"Сливочный с курицей",1,0,visible,,"Сыр, рис, курица копченая",,,taxable,,1,,,0,0,200,,,,0,,,175,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_3364.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,62
34,simple,00138,"Калифорния с креветкой",1,0,visible,,"Креветка тигровая, авокадо, огурец, масаго, майонез",,,taxable,,1,,,0,0,220,,,,0,,,336,Роллы,,,https://bezvilokomsk.ru/wp-content/uploads/2021/07/IMG_3466.jpg,,,,,,"00201, 00196, 00215, 00217, 00197, 00205, 00198, 00204, 00203, 00200, 00202, 00199",,,26
